ejecutable;cantidadArchivo;tiempo;
boyermooreSearch;10;1.73896;703546
boyermooreSearch;10;1.73803;703546
boyermooreSearch;10;1.73491;703546
boyermooreSearch;10;1.73345;703546
boyermooreSearch;10;1.73412;703546
boyermooreSearch;10;1.73581;703546
boyermooreSearch;10;1.73447;703546
boyermooreSearch;10;1.73416;703546
boyermooreSearch;10;1.73446;703546
boyermooreSearch;10;1.73422;703546
boyermooreSearch;10;1.7352;703546
boyermooreSearch;10;1.73401;703546
boyermooreSearch;10;1.73513;703546
boyermooreSearch;10;1.73385;703546
boyermooreSearch;10;1.73554;703546
boyermooreSearch;10;1.73405;703546
boyermooreSearch;10;1.73395;703546
boyermooreSearch;10;1.73343;703546
boyermooreSearch;10;1.73343;703546
boyermooreSearch;10;1.73429;703546
boyermooreSearch;20;3.45384;1415526
boyermooreSearch;20;3.45293;1415526
boyermooreSearch;20;3.45077;1415526
boyermooreSearch;20;3.4518;1415526
boyermooreSearch;20;3.45421;1415526
boyermooreSearch;20;3.45615;1415526
boyermooreSearch;20;3.45274;1415526
boyermooreSearch;20;3.45142;1415526
boyermooreSearch;20;3.4524;1415526
boyermooreSearch;20;3.45437;1415526
boyermooreSearch;20;3.45153;1415526
boyermooreSearch;20;3.45469;1415526
boyermooreSearch;20;3.45155;1415526
boyermooreSearch;20;3.45137;1415526
boyermooreSearch;20;3.45084;1415526
boyermooreSearch;20;3.45158;1415526
boyermooreSearch;20;3.45022;1415526
boyermooreSearch;20;3.45351;1415526
boyermooreSearch;20;3.4546;1415526
boyermooreSearch;20;3.4542;1415526
boyermooreSearch;30;5.19769;2113203
boyermooreSearch;30;5.19954;2113203
boyermooreSearch;30;5.2013;2113203
boyermooreSearch;30;5.20053;2113203
boyermooreSearch;30;5.20086;2113203
boyermooreSearch;30;5.20037;2113203
boyermooreSearch;30;5.20294;2113203
boyermooreSearch;30;5.20107;2113203
boyermooreSearch;30;5.20184;2113203
boyermooreSearch;30;5.20009;2113203
boyermooreSearch;30;5.19944;2113203
boyermooreSearch;30;5.20117;2113203
boyermooreSearch;30;5.20029;2113203
boyermooreSearch;30;5.20143;2113203
boyermooreSearch;30;5.20181;2113203
boyermooreSearch;30;5.20065;2113203
boyermooreSearch;30;5.20104;2113203
boyermooreSearch;30;5.19988;2113203
boyermooreSearch;30;5.20208;2113203
boyermooreSearch;30;5.19655;2113203
boyermooreSearch;40;6.95117;2818725
boyermooreSearch;40;6.9456;2818725
boyermooreSearch;40;6.94977;2818725
boyermooreSearch;40;6.95035;2818725
boyermooreSearch;40;6.94867;2818725
boyermooreSearch;40;6.95251;2818725
boyermooreSearch;40;6.95235;2818725
boyermooreSearch;40;6.95012;2818725
boyermooreSearch;40;6.95351;2818725
boyermooreSearch;40;6.94795;2818725
boyermooreSearch;40;6.94789;2818725
boyermooreSearch;40;6.94609;2818725
boyermooreSearch;40;6.9515;2818725
boyermooreSearch;40;6.956;2818725
boyermooreSearch;40;6.95048;2818725
boyermooreSearch;40;6.94926;2818725
boyermooreSearch;40;6.94804;2818725
boyermooreSearch;40;6.94845;2818725
boyermooreSearch;40;6.94304;2818725
boyermooreSearch;40;6.94518;2818725
kmpSearch;10;1.98901;703546
kmpSearch;10;1.98733;703546
kmpSearch;10;1.98526;703546
kmpSearch;10;1.98488;703546
kmpSearch;10;1.98428;703546
kmpSearch;10;1.98588;703546
kmpSearch;10;1.98581;703546
kmpSearch;10;1.98615;703546
kmpSearch;10;1.98603;703546
kmpSearch;10;1.9851;703546
kmpSearch;10;1.98467;703546
kmpSearch;10;1.99448;703546
kmpSearch;10;1.98637;703546
kmpSearch;10;1.98443;703546
kmpSearch;10;1.99193;703546
kmpSearch;10;1.98408;703546
kmpSearch;10;1.98622;703546
kmpSearch;10;1.98424;703546
kmpSearch;10;1.98401;703546
kmpSearch;10;1.98536;703546
kmpSearch;20;3.96332;1415526
kmpSearch;20;3.96169;1415526
kmpSearch;20;3.96068;1415526
kmpSearch;20;3.96065;1415526
kmpSearch;20;3.96106;1415526
kmpSearch;20;3.96319;1415526
kmpSearch;20;3.96189;1415526
kmpSearch;20;3.96113;1415526
kmpSearch;20;3.9606;1415526
kmpSearch;20;3.96434;1415526
kmpSearch;20;3.96293;1415526
kmpSearch;20;3.96208;1415526
