ejecutable;tamañoPatron;tiempo;
boyermooreSearch;100;1.10812;3513
boyermooreSearch;100;1.10494;3513
boyermooreSearch;100;1.10403;3513
boyermooreSearch;100;1.10391;3513
boyermooreSearch;100;1.10409;3513
boyermooreSearch;100;1.10413;3513
boyermooreSearch;100;1.10347;3513
boyermooreSearch;100;1.10383;3513
boyermooreSearch;100;1.10563;3513
boyermooreSearch;100;1.10405;3513
boyermooreSearch;100;1.10549;3513
boyermooreSearch;100;1.10449;3513
boyermooreSearch;100;1.10368;3513
boyermooreSearch;100;1.10364;3513
boyermooreSearch;100;1.10494;3513
boyermooreSearch;100;1.10473;3513
boyermooreSearch;100;1.10495;3513
boyermooreSearch;100;1.1045;3513
boyermooreSearch;100;1.10414;3513
boyermooreSearch;100;1.10429;3513
boyermooreSearch;200;2.37005;4711
boyermooreSearch;200;2.369;4711
boyermooreSearch;200;2.37001;4711
boyermooreSearch;200;2.36806;4711
boyermooreSearch;200;2.36888;4711
boyermooreSearch;200;2.36889;4711
boyermooreSearch;200;2.36802;4711
boyermooreSearch;200;2.36893;4711
boyermooreSearch;200;2.36989;4711
boyermooreSearch;200;2.36937;4711
boyermooreSearch;200;2.3694;4711
boyermooreSearch;200;2.36928;4711
boyermooreSearch;200;2.36857;4711
boyermooreSearch;200;2.36823;4711
boyermooreSearch;200;2.3696;4711
boyermooreSearch;200;2.37073;4711
boyermooreSearch;200;2.37049;4711
boyermooreSearch;200;2.36822;4711
boyermooreSearch;200;2.37561;4711
boyermooreSearch;200;2.36845;4711
boyermooreSearch;300;3.51139;7923
boyermooreSearch;300;3.51189;7923
boyermooreSearch;300;3.51239;7923
boyermooreSearch;300;3.51478;7923
boyermooreSearch;300;3.51289;7923
boyermooreSearch;300;3.5188;7923
boyermooreSearch;300;3.51228;7923
boyermooreSearch;300;3.5126;7923
boyermooreSearch;300;3.51418;7923
boyermooreSearch;300;3.51406;7923
boyermooreSearch;300;3.51502;7923
boyermooreSearch;300;3.51653;7923
boyermooreSearch;300;3.50944;7923
boyermooreSearch;300;3.51196;7923
boyermooreSearch;300;3.51404;7923
boyermooreSearch;300;3.51391;7923
boyermooreSearch;300;3.51371;7923
boyermooreSearch;300;3.51319;7923
boyermooreSearch;300;3.51398;7923
boyermooreSearch;300;3.51364;7923
boyermooreSearch;500;5.82431;13520
boyermooreSearch;500;5.83644;13520
boyermooreSearch;500;5.82907;13520
boyermooreSearch;500;5.8264;13520
boyermooreSearch;500;5.83273;13520
boyermooreSearch;500;5.8295;13520
boyermooreSearch;500;5.82914;13520
boyermooreSearch;500;5.82917;13520
boyermooreSearch;500;5.83089;13520
boyermooreSearch;500;5.87313;13520
boyermooreSearch;500;5.82885;13520
boyermooreSearch;500;5.82718;13520
boyermooreSearch;500;5.83145;13520
boyermooreSearch;500;5.82772;13520
boyermooreSearch;500;5.82885;13520
boyermooreSearch;500;5.82707;13520
boyermooreSearch;500;5.83415;13520
boyermooreSearch;500;5.82677;13520
boyermooreSearch;500;5.83047;13520
boyermooreSearch;500;5.82814;13520
boyermooreSearch;1000;11.7749;24400
boyermooreSearch;1000;11.7675;24400
boyermooreSearch;1000;11.7803;24400
boyermooreSearch;1000;11.7729;24400
boyermooreSearch;1000;11.7682;24400
boyermooreSearch;1000;11.7812;24400
boyermooreSearch;1000;11.7698;24400
boyermooreSearch;1000;11.7819;24400
boyermooreSearch;1000;11.7753;24400
boyermooreSearch;1000;11.7813;24400
boyermooreSearch;1000;11.7694;24400
boyermooreSearch;1000;11.775;24400
boyermooreSearch;1000;11.7715;24400
boyermooreSearch;1000;11.7729;24400
boyermooreSearch;1000;11.7754;24400
boyermooreSearch;1000;11.7755;24400
boyermooreSearch;1000;11.7733;24400
boyermooreSearch;1000;11.7816;24400
boyermooreSearch;1000;11.775;24400
boyermooreSearch;1000;11.7866;24400
