ejecutable;tamañoPatron;tiempo;
boyermooreSearch;100;0.602704;0
boyermooreSearch;100;0.601678;0
boyermooreSearch;100;0.602864;0
boyermooreSearch;100;0.602299;0
boyermooreSearch;100;0.602479;0
boyermooreSearch;100;0.601727;0
boyermooreSearch;100;0.60191;0
boyermooreSearch;100;0.601038;0
boyermooreSearch;100;0.601682;0
boyermooreSearch;100;0.601605;0
boyermooreSearch;100;0.601481;0
boyermooreSearch;100;0.601244;0
boyermooreSearch;100;0.601366;0
boyermooreSearch;100;0.601824;0
boyermooreSearch;100;0.601768;0
boyermooreSearch;100;0.602102;0
boyermooreSearch;100;0.601035;0
boyermooreSearch;100;0.601114;0
boyermooreSearch;100;0.601137;0
boyermooreSearch;100;0.601821;0
boyermooreSearch;200;1.21819;0
boyermooreSearch;200;1.2179;0
boyermooreSearch;200;1.21909;0
boyermooreSearch;200;1.21673;0
boyermooreSearch;200;1.21767;0
boyermooreSearch;200;1.21717;0
boyermooreSearch;200;1.21781;0
boyermooreSearch;200;1.21697;0
boyermooreSearch;200;1.21711;0
boyermooreSearch;200;1.21672;0
boyermooreSearch;200;1.21895;0
boyermooreSearch;200;1.21644;0
boyermooreSearch;200;1.21683;0
boyermooreSearch;200;1.21762;0
boyermooreSearch;200;1.21725;0
boyermooreSearch;200;1.2166;0
boyermooreSearch;200;1.21601;0
boyermooreSearch;200;1.21713;0
boyermooreSearch;200;1.21678;0
boyermooreSearch;200;1.21658;0
boyermooreSearch;300;1.79001;0
boyermooreSearch;300;1.79016;0
boyermooreSearch;300;1.78849;0
boyermooreSearch;300;1.78954;0
boyermooreSearch;300;1.79132;0
boyermooreSearch;300;1.78969;0
boyermooreSearch;300;1.79222;0
boyermooreSearch;300;1.78908;0
boyermooreSearch;300;1.78933;0
boyermooreSearch;300;1.78768;0
boyermooreSearch;300;1.7873;0
boyermooreSearch;300;1.79015;0
boyermooreSearch;300;1.7904;0
boyermooreSearch;300;1.79058;0
boyermooreSearch;300;1.79139;0
boyermooreSearch;300;1.78842;0
boyermooreSearch;300;1.78992;0
boyermooreSearch;300;1.7908;0
boyermooreSearch;300;1.78949;0
boyermooreSearch;300;1.79048;0
boyermooreSearch;500;2.98901;0
boyermooreSearch;500;2.98996;0
boyermooreSearch;500;2.99143;0
boyermooreSearch;500;2.98885;0
boyermooreSearch;500;2.99055;0
boyermooreSearch;500;2.99323;0
boyermooreSearch;500;2.98865;0
boyermooreSearch;500;2.98983;0
boyermooreSearch;500;2.98847;0
boyermooreSearch;500;2.98818;0
boyermooreSearch;500;2.98837;0
boyermooreSearch;500;2.98717;0
boyermooreSearch;500;2.99225;0
boyermooreSearch;500;2.98817;0
boyermooreSearch;500;2.99062;0
boyermooreSearch;500;2.98698;0
boyermooreSearch;500;2.98919;0
boyermooreSearch;500;2.99287;0
boyermooreSearch;500;2.98805;0
boyermooreSearch;500;2.99082;0
boyermooreSearch;1000;5.98992;0
boyermooreSearch;1000;5.98864;0
boyermooreSearch;1000;5.99373;0
boyermooreSearch;1000;5.98506;0
boyermooreSearch;1000;6.0015;0
boyermooreSearch;1000;5.98818;0
boyermooreSearch;1000;5.99798;0
boyermooreSearch;1000;5.98278;0
boyermooreSearch;1000;5.99765;0
boyermooreSearch;1000;5.98716;0
boyermooreSearch;1000;5.99333;0
boyermooreSearch;1000;5.98709;0
boyermooreSearch;1000;5.98933;0
boyermooreSearch;1000;5.98985;0
boyermooreSearch;1000;5.99389;0
boyermooreSearch;1000;5.98695;0
boyermooreSearch;1000;5.99001;0
boyermooreSearch;1000;5.98623;0
boyermooreSearch;1000;5.99041;0
boyermooreSearch;1000;5.99326;0
boyermooreSearch;2000;11.9344;0
boyermooreSearch;2000;11.9471;0
