ejecutable;cantidadPatron;tiempo;
boyermooreSearch-corto;100;1.34855;855990
boyermooreSearch-corto;100;1.34439;855990
boyermooreSearch-corto;100;1.34384;855990
boyermooreSearch-corto;100;1.34377;855990
boyermooreSearch-corto;100;1.34267;855990
boyermooreSearch-corto;100;1.34293;855990
boyermooreSearch-corto;100;1.34387;855990
boyermooreSearch-corto;100;1.34466;855990
boyermooreSearch-corto;100;1.34309;855990
boyermooreSearch-corto;100;1.34293;855990
boyermooreSearch-corto;100;1.34367;855990
boyermooreSearch-corto;100;1.34272;855990
boyermooreSearch-corto;100;1.3435;855990
boyermooreSearch-corto;100;1.34378;855990
boyermooreSearch-corto;100;1.34346;855990
boyermooreSearch-corto;100;1.34293;855990
boyermooreSearch-corto;100;1.34531;855990
boyermooreSearch-corto;100;1.34209;855990
boyermooreSearch-corto;100;1.34296;855990
boyermooreSearch-corto;100;1.34351;855990
boyermooreSearch-corto;200;2.83462;1540579
boyermooreSearch-corto;200;2.8328;1540579
boyermooreSearch-corto;200;2.83442;1540579
boyermooreSearch-corto;200;2.83548;1540579
boyermooreSearch-corto;200;2.83252;1540579
boyermooreSearch-corto;200;2.83205;1540579
boyermooreSearch-corto;200;2.83105;1540579
boyermooreSearch-corto;200;2.8327;1540579
boyermooreSearch-corto;200;2.8335;1540579
boyermooreSearch-corto;200;2.8344;1540579
boyermooreSearch-corto;200;2.83561;1540579
boyermooreSearch-corto;200;2.8334;1540579
boyermooreSearch-corto;200;2.83171;1540579
boyermooreSearch-corto;200;2.83245;1540579
boyermooreSearch-corto;200;2.8331;1540579
boyermooreSearch-corto;200;2.83165;1540579
boyermooreSearch-corto;200;2.83478;1540579
boyermooreSearch-corto;200;2.83363;1540579
boyermooreSearch-corto;200;2.83395;1540579
boyermooreSearch-corto;200;2.83273;1540579
boyermooreSearch-corto;300;4.25606;2257512
boyermooreSearch-corto;300;4.25358;2257512
boyermooreSearch-corto;300;4.25761;2257512
boyermooreSearch-corto;300;4.25466;2257512
boyermooreSearch-corto;300;4.25607;2257512
boyermooreSearch-corto;300;4.25385;2257512
boyermooreSearch-corto;300;4.25442;2257512
boyermooreSearch-corto;300;4.2566;2257512
boyermooreSearch-corto;300;4.25671;2257512
boyermooreSearch-corto;300;4.25343;2257512
boyermooreSearch-corto;300;4.2538;2257512
boyermooreSearch-corto;300;4.2534;2257512
boyermooreSearch-corto;300;4.25627;2257512
boyermooreSearch-corto;300;4.25508;2257512
boyermooreSearch-corto;300;4.25472;2257512
boyermooreSearch-corto;300;4.25475;2257512
boyermooreSearch-corto;300;4.25678;2257512
boyermooreSearch-corto;300;4.25627;2257512
boyermooreSearch-corto;300;4.25464;2257512
boyermooreSearch-corto;300;4.25603;2257512
boyermooreSearch-corto;500;7.0835;4040073
boyermooreSearch-corto;500;7.08613;4040073
boyermooreSearch-corto;500;7.08761;4040073
boyermooreSearch-corto;500;7.09085;4040073
boyermooreSearch-corto;500;7.08467;4040073
boyermooreSearch-corto;500;7.08423;4040073
boyermooreSearch-corto;500;7.09029;4040073
boyermooreSearch-corto;500;7.08429;4040073
boyermooreSearch-corto;500;7.0868;4040073
boyermooreSearch-corto;500;7.08739;4040073
boyermooreSearch-corto;500;7.09533;4040073
boyermooreSearch-corto;500;7.08614;4040073
boyermooreSearch-corto;500;7.0848;4040073
boyermooreSearch-corto;500;7.08678;4040073
boyermooreSearch-corto;500;7.08665;4040073
boyermooreSearch-corto;500;7.0852;4040073
boyermooreSearch-corto;500;7.0867;4040073
boyermooreSearch-corto;500;7.08583;4040073
boyermooreSearch-corto;500;7.09053;4040073
boyermooreSearch-corto;500;7.08334;4040073
boyermooreSearch-corto;1000;14.1647;7911414
boyermooreSearch-corto;1000;14.156;7911414
boyermooreSearch-corto;1000;14.157;7911414
boyermooreSearch-corto;1000;14.1577;7911414
boyermooreSearch-corto;1000;14.1708;7911414
boyermooreSearch-corto;1000;14.1644;7911414
boyermooreSearch-corto;1000;14.165;7911414
boyermooreSearch-corto;1000;14.1653;7911414
boyermooreSearch-corto;1000;14.1585;7911414
boyermooreSearch-corto;1000;14.1562;7911414
boyermooreSearch-corto;1000;14.1657;7911414
boyermooreSearch-corto;1000;14.1585;7911414
boyermooreSearch-corto;1000;14.1549;7911414
boyermooreSearch-corto;1000;14.1582;7911414
